Nombre,apellido,DNI,email personal,telＧono de contacto,CVU/CBU,Inquilino
HＤtor,Fernandez,29259090,Fernandez_HＤtor@email.com,1120639634,"4,60919E+21",0
MARCELO MIGUEL,GIANETTA,29260081,GIANETTA_MARCELO MIGUEL @email.com,1120639623,"3,26675E+21",1
ALEJANDRO ESTEBAN,PEDERNERA,29261973,PEDERNERA_ ALEJANDRO ESTEBAN@email.com,1120639592,"4,2792E+21",1
LUCAS SALVADOR,ACCORINTI,29263286,ACCORINTI_ LUCAS SALVADOR@email.com,1120639565,"6,52232E+21",1
GUSTAVO ARIEL,CHAVEZ,29270305,CHAVEZ_GUSTAVO ARIEL@email.com,1120639595,"8,30696E+21",1
CLAUDIO JOSE,ORMENO,29276163,ORMENO_CLAUDIO JOSE @email.com,1120639670,"2,39951E+21",0
LEANDRO ENRIQUE,IRIBARNE,29278042,IRIBARNE_ LEANDRO ENRIQUE@email.com,1120639569,"2,00351E+21",0
ALEJANDRO ALBERTO R,CIPRIANO,29279513,CIPRIANO_ALEJANDRO ALBERTO R@email.com,1120639593,"7,15249E+21",1
PABLO DARIO,BIEN,29284459,BIEN_ PABLO DARIO@email.com,1120639568,"8,46915E+21",1
JESUS PAUL,MARCOS,29287975,MARCOS_ JESUS PAUL@email.com,1120639574,"4,02283E+21",1
RICARDO ALBERTO,PAROL,29293683,PAROL_RICARDO ALBERTO@email.com,1120639638,"8,32736E+21",0
ELIAS E,PEDROZO,29300111,PEDROZO_ELIAS E@email.com,1120639601,"9,87305E+21",0
MARTIN EMILIANO,VASQUEZ,29305275,VASQUEZ_MARTIN EMILIANO@email.com,1120639619,"1,42446E+21",0
ALEJANDRO GUILLERMO,ESCUDERO,29308616,ESCUDERO_ALEJANDRO GUILLERMO @email.com,1120639633,"9,09001E+21",0
LUCAS MARCELO,BIANCHI,29322550,BIANCHI_LUCAS MARCELO@email.com,1120639640,"6,09749E+21",0
SERGIO JAVIER,FIGUEROA,29324246,FIGUEROA_ SERGIO JAVIER@email.com,1120639562,"9,73651E+21",0
MAURO MARTIN,GONZALEZ,29325860,GONZALEZ_MAURO MARTIN@email.com,1120639573,"4,14123E+21",0
DARIO PEDRO,SILVA,29327596,SILVA_ DARIO PEDRO@email.com,1120639579,"2,3371E+21",0
MATIAS EMANUEL,BERARDI,29327816,BERARDI_MATIAS EMANUEL@email.com,1120639616,"6,04959E+21",0
PABLO FABIAN,PERRANDO,29329107,PERRANDO_PABLO FABIAN@email.com,1120639639,"8,20399E+21",0
JORGE DANIEL,ROJAS,29333588,ROJAS_JORGE DANIEL@email.com,1120639641,"8,67136E+21",0
HUGO ALBERTO,GIMENEZ,29334062,GIMENEZ_HUGO ALBERTO@email.com,1120639605,"1,59991E+21",0
PABLO MARTIN,GONZALEZ,29336264,GONZALEZ_PABLO MARTIN @email.com,1120639627,"9,64964E+21",1
ELIAS N,RAMALLO,29336748,RAMALLO_ELIAS N @email.com,1120639671,"3,74744E+21",1
GONZALO E,FRIAS,29337819,FRIAS_GONZALO E @email.com,1120639672,"5,84624E+21",1
ADRIAN MATIAS,VALLEJOS,29339068,VALLEJOS_ADRIAN MATIAS @email.com,1120639628,"7,99791E+21",1
PABLO LUIS,ROGGERO,29339140,ROGGERO_PABLO LUIS@email.com,1120639600,"3,39233E+21",1
GASTON ARIEL,CRUZ,29341472,CRUZ_ GASTON ARIEL@email.com,1120639563,"7,9534E+21",1
WALTER DAMIAN,INSFRAN,29342250,INSFRAN_ WALTER DAMIAN@email.com,1120639613,"7,89969E+21",1
NICOLAS DANIEL,PALACIOS,29344810,PALACIOS_NICOLAS DANIEL @email.com,1120639673,"4,19888E+21",0
MAXIMILIANO DAVID,PENKALUK,29344811,PENKALUK_MAXIMILIANO DAVID @email.com,1120639629,"1,83162E+21",1
FERNANDO DIEGO RAUL,QUIROZ,29345669,QUIROZ_ FERNANDO DIEGO RAUL@email.com,1120639576,"9,09859E+21",1
NAHUEL SANTIAGO,SCARSINI,29353578,SCARSINI_ NAHUEL SANTIAGO@email.com,1120639591,"4,64913E+21",0
ALBERTO EMANUEL,FERNANDEZ CALDERON,29354796,FERNANDEZ CALDERON_ALBERTO EMANUEL @email.com,1120639617,"7,38518E+21",0
RODIS OSVALDO,PEREZ,29356830,PEREZ_RODIS OSVALDO @email.com,1120639642,"8,55574E+21",0
MAURO GASTON,GONZALEZ,29359002,GONZALEZ_MAURO GASTON @email.com,1120639643,"4,05869E+21",0
EDUARDO JAVIER,GRISEK,29364139,GRISEK_EDUARDO JAVIER @email.com,1120639644,"9,53147E+21",0
NAHUEL FERNANDO,VELIZ,29364139,VELIZ_NAHUEL FERNANDO @email.com,1120639645,"2,77293E+21",1
FACUNDO N,ALFONZO,29366987,ALFONZO_FACUNDO N@email.com,1120639624,"9,78678E+21",1
LEONARDO JAVIER,MORANDI,29370979,MORANDI_LEONARDO JAVIER @email.com,1120639646,"8,57114E+21",1
FRANCO EZEQUIEL,FORMOSO,29372385,FORMOSO_FRANCO EZEQUIEL@email.com,1120639647,"2,54868E+21",1
LEANDRO EZEQUIEL,NIETO,29374066,NIETO_ LEANDRO EZEQUIEL@email.com,1120639584,"5,11731E+21",1
LEANDRO AGUSTIN EZEQUIEL,MARQUEZ,29384278,MARQUEZ_ LEANDRO AGUSTIN EZEQUIEL@email.com,1120639587,"6,87188E+21",1
ELIAS N AYALA,FERNANDEZ,29388638,FERNANDEZ_ELIAS N AYALA@email.com,1120639603,"1,13553E+21",1
JUAN RAUL,FERRARI,29407953,FERRARI_ JUAN RAUL@email.com,1120639577,"6,92736E+21",1
DARIO N,MORENO,29411299,MORENO_DARIO N@email.com,1120639604,"8,94438E+21",1
TORRANO JOSE E,RODRIGUEZ,29937503,RODRIGUEZ_TORRANO JOSE E@email.com,1120639648,"4,6251E+21",0
JOSE M,CORDONERO,29954544,CORDONERO_JOSE M@email.com,1120639602,"3,1396E+21",0
OSNAGHI ANDREA,MALDONADO,30124875,OSNAGHI ANDREA_MALDONADO@email.com,1120639649,"8,56915E+21",1
ALEJANDRA,MEDINA,30258963,ALEJANDRA_MEDINA@email.com,1120639650,"4,12283E+21",1
LUCIANA VANESA,MACELLARI,30258741,LUCIANA VANESA _MACELLARI@email.com,1120639651,"8,22736E+21",1
JAIME DANIEL,BANEGAS,30963258,JAIME DANIEL _BANEGAS@email.com,1120639652,"9,97305E+21",1
Santiago,ROSON,30258963,Santiago_ROSON@email.com,1120639653,"1,52446E+21",1
PAMELA GABRIELA,RODRIGUEZ,30258741,PAMELA GABRIELA_RODRIGUEZ@email.com,1120639654,"9,19001E+21",1
SILVIO IVAN,LOPEZ,30587498,SILVIO IVAN_ LOPEZ@email.com,1120639655,"6,07749E+21",1
ALEJANDRA GABRIELA,LAVIZZARI,30789654,ALEJANDRA GABRIELA _LAVIZZARI@email.com,1120639656,"9,74565E+21",0
SAMANTA L,Fernandez,30569874,SAMANTA L_ Fernandez@email.com,1120639657,"4,15123E+21",1
FLAVIA MIRIAM,GIANETTA,30458951,FLAVIA MIRIAM_GIANETTA@email.com,1120639658,"2,3471E+21",1
PAMELA E CARABAJAL,PEDERNERA,30258741,PAMELA E CARABAJAL_PEDERNERA@email.com,1120639659,"6,06959E+21",0
GRACIELA JUDITH,ACCORINTI,30357951,GRACIELA JUDITH _ACCORINTI@email.com,1120639660,"8,30399E+21",0
SILVIA VIVIANA,CHAVEZ,30157953,SILVIA VIVIANA_ CHAVEZ@email.com,1120639661,"8,68836E+21",0
ZURITA GLORIA R,ORMENO,30359741,ZURITA GLORIA R_ORMENO@email.com,1120639662,"1,44991E+21",0
GLADYS BEATRIZ,IRIBARNE,30268751,GLADYS BEATRIZ _IRIBARNE@email.com,1120639663,"9,66664E+21",0
